Sample,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd
AJA1,3.732,0.243,0.175,0.053,0.766,0.849,0.087,0.009,0.129
AJA2,2.596,0.179,0.129,0.045,0.598,0.438,0.043,0.008,0.092
AJA3,2.078,0.104,0.106,0.043,0.357,0.247,0.031,0.006,0.035
AJA4,0.241,0.069,0.079,0.031,0.159,0.095,0.009,0.003,0.002
AJA5,0.987,0.078,0.088,0.041,0.197,0.108,0.017,0.004,0.002
AJA6,0.974,0.081,0.086,0.04,0.185,0.105,0.013,0.004,0.002
AJA7,0.281,0.064,0.073,0.029,0.158,0.074,0.007,0.003,0.002
AJA8,0.817,0.078,0.083,0.046,0.183,0.099,0.015,0.003,0.002
AJA9,0.269,0.067,0.075,0.034,0.157,0.075,0.006,0.003,0.002
AJA10,0.659,0.076,0.085,0.043,0.179,0.095,0.009,0.003,0.002
AJA11,0.241,0.062,0.075,0.032,0.162,0.061,0.004,0.003,0.002
AJA12,0.597,0.074,0.078,0.042,0.171,0.073,0.005,0.003,0.002
AJA13,0.239,0.054,0.064,0.028,0.098,0.082,0.003,0.003,0.002
AJA14,0.703,0.075,0.076,0.048,0.175,0.072,0.004,0.003,0.002
AJA15,0.524,0.068,0.072,0.042,0.167,0.067,0.004,0.003,0.002
AJA16,0.566,0.067,0.073,0.044,0.165,0.063,0.004,0.003,0.002
AJA17,0.597,0.072,0.076,0.045,0.172,0.066,0.005,0.003,0.002
AJA18,0.221,0.048,0.062,0.029,0.087,0.062,0.003,0.003,0.002
AJA19,2.308,0.064,0.072,0.044,0.143,0.063,0.003,0.003,0.002
AJA20,0.469,0.071,0.069,0.036,0.169,0.062,0.003,0.003,0.002
AJA21,1.906,0.131,0.101,0.041,0.322,0.351,0.041,0.006,0.028
AJA22,1.348,0.114,0.098,0.038,0.298,0.337,0.036,0.006,0.035
AJA23,1.312,0.133,0.108,0.04,0.336,0.288,0.039,0.005,0.022
AJA24,1.449,0.128,0.12,0.035,0.274,0.305,0.045,0.006,0.011
AJA25,1.27,0.139,0.117,0.031,0.301,0.297,0.035,0.006,0.008
