Sample,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd
AJA1,3.732,24.3,17.5,2.65,7.66,42.45,43.5,9,129
AJA2,2.596,17.9,12.9,2.25,5.98,21.9,21.5,8,92
AJA3,2.078,10.4,10.6,2.15,3.57,12.35,15.5,6,35
AJA4,0.241,6.9,7.9,1.55,1.59,4.75,4.5,3,2
AJA5,0.987,7.8,8.8,2.05,1.97,5.4,8.5,4,2
AJA6,0.974,8.1,8.6,2,1.85,5.25,6.5,4,2
AJA7,0.281,6.4,7.3,1.45,1.58,3.7,3.5,3,2
AJA8,0.817,7.8,8.3,2.3,1.83,4.95,7.5,3,2
AJA9,0.269,6.7,7.5,1.7,1.57,3.75,3,3,2
AJA10,0.659,7.6,8.5,2.15,1.79,4.75,4.5,3,2
AJA11,0.241,6.2,7.5,1.6,1.62,3.05,2,3,2
AJA12,0.597,7.4,7.8,2.1,1.71,3.65,2.5,3,2
AJA13,0.239,5.4,6.4,1.4,0.98,4.1,1.5,3,2
AJA14,0.703,7.5,7.6,2.4,1.75,3.6,2,3,2
AJA15,0.524,6.8,7.2,2.1,1.67,3.35,2,3,2
AJA16,0.566,6.7,7.3,2.2,1.65,3.15,2,3,2
AJA17,0.597,7.2,7.6,2.25,1.72,3.3,2.5,3,2
AJA18,0.221,4.8,6.2,1.45,0.87,3.1,1.5,3,2
AJA19,2.308,6.4,7.2,2.2,1.43,3.15,1.5,3,2
AJA20,0.469,7.1,6.9,1.8,1.69,3.1,1.5,3,2
AJA21,1.906,13.1,10.1,2.05,3.22,17.55,20.5,6,28
AJA22,1.348,11.4,9.8,1.9,2.98,16.85,18,6,35
AJA23,1.312,13.3,10.8,2,3.36,14.4,19.5,5,22
AJA24,1.449,12.8,12,1.75,2.74,15.25,22.5,6,11
AJA25,1.27,13.9,11.7,1.55,3.01,14.85,17.5,6,8
