Sample,Metal,ERI,Classification,Interpretation
AJA1,Fe,3.732,Low Risk,Minimal ecological threat.
AJA1,Pb,121.5,Considerable Risk,Significant ecological threat.
AJA1,Cu,87.5,Considerable Risk,Significant ecological threat.
AJA1,Cr,5.3,Low Risk,Minimal ecological threat.
AJA1,Mn,7.66,Low Risk,Minimal ecological threat.
AJA1,Zn,42.45,Moderate Risk,Moderate ecological risk.
AJA1,Ni,217.49999999999997,High Risk,Serious ecological impact.
AJA1,Co,45.0,Moderate Risk,Moderate ecological risk.
AJA1,Cd,3870.0,Very High Risk,Severe ecological damage.
AJA2,Fe,2.596,Low Risk,Minimal ecological threat.
AJA2,Pb,89.5,Considerable Risk,Significant ecological threat.
AJA2,Cu,64.5,Moderate Risk,Moderate ecological risk.
AJA2,Cr,4.5,Low Risk,Minimal ecological threat.
AJA2,Mn,5.98,Low Risk,Minimal ecological threat.
AJA2,Zn,21.9,Low Risk,Minimal ecological threat.
AJA2,Ni,107.5,Considerable Risk,Significant ecological threat.
AJA2,Co,40.0,Moderate Risk,Moderate ecological risk.
AJA2,Cd,2760.0,Very High Risk,Severe ecological damage.
AJA3,Fe,2.078,Low Risk,Minimal ecological threat.
AJA3,Pb,52.0,Moderate Risk,Moderate ecological risk.
AJA3,Cu,53.0,Moderate Risk,Moderate ecological risk.
AJA3,Cr,4.3,Low Risk,Minimal ecological threat.
AJA3,Mn,3.57,Low Risk,Minimal ecological threat.
AJA3,Zn,12.35,Low Risk,Minimal ecological threat.
AJA3,Ni,77.5,Moderate Risk,Moderate ecological risk.
AJA3,Co,30.0,Low Risk,Minimal ecological threat.
AJA3,Cd,1050.0,Very High Risk,Severe ecological damage.
AJA4,Fe,0.241,Low Risk,Minimal ecological threat.
AJA4,Pb,34.5,Low Risk,Minimal ecological threat.
AJA4,Cu,39.5,Low Risk,Minimal ecological threat.
AJA4,Cr,3.1,Low Risk,Minimal ecological threat.
AJA4,Mn,1.59,Low Risk,Minimal ecological threat.
AJA4,Zn,4.75,Low Risk,Minimal ecological threat.
AJA4,Ni,22.5,Low Risk,Minimal ecological threat.
AJA4,Co,15.0,Low Risk,Minimal ecological threat.
AJA4,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA5,Fe,0.987,Low Risk,Minimal ecological threat.
AJA5,Pb,39.0,Low Risk,Minimal ecological threat.
AJA5,Cu,43.99999999999999,Moderate Risk,Moderate ecological risk.
AJA5,Cr,4.1,Low Risk,Minimal ecological threat.
AJA5,Mn,1.97,Low Risk,Minimal ecological threat.
AJA5,Zn,5.4,Low Risk,Minimal ecological threat.
AJA5,Ni,42.5,Moderate Risk,Moderate ecological risk.
AJA5,Co,20.0,Low Risk,Minimal ecological threat.
AJA5,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA6,Fe,0.974,Low Risk,Minimal ecological threat.
AJA6,Pb,40.5,Moderate Risk,Moderate ecological risk.
AJA6,Cu,43.0,Moderate Risk,Moderate ecological risk.
AJA6,Cr,4.0,Low Risk,Minimal ecological threat.
AJA6,Mn,1.85,Low Risk,Minimal ecological threat.
AJA6,Zn,5.25,Low Risk,Minimal ecological threat.
AJA6,Ni,32.5,Low Risk,Minimal ecological threat.
AJA6,Co,20.0,Low Risk,Minimal ecological threat.
AJA6,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA7,Fe,0.281,Low Risk,Minimal ecological threat.
AJA7,Pb,32.0,Low Risk,Minimal ecological threat.
AJA7,Cu,36.5,Low Risk,Minimal ecological threat.
AJA7,Cr,2.9,Low Risk,Minimal ecological threat.
AJA7,Mn,1.5799999999999998,Low Risk,Minimal ecological threat.
AJA7,Zn,3.7,Low Risk,Minimal ecological threat.
AJA7,Ni,17.5,Low Risk,Minimal ecological threat.
AJA7,Co,15.0,Low Risk,Minimal ecological threat.
AJA7,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA8,Fe,0.817,Low Risk,Minimal ecological threat.
AJA8,Pb,39.0,Low Risk,Minimal ecological threat.
AJA8,Cu,41.5,Moderate Risk,Moderate ecological risk.
AJA8,Cr,4.6,Low Risk,Minimal ecological threat.
AJA8,Mn,1.83,Low Risk,Minimal ecological threat.
AJA8,Zn,4.95,Low Risk,Minimal ecological threat.
AJA8,Ni,37.5,Low Risk,Minimal ecological threat.
AJA8,Co,15.0,Low Risk,Minimal ecological threat.
AJA8,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA9,Fe,0.269,Low Risk,Minimal ecological threat.
AJA9,Pb,33.5,Low Risk,Minimal ecological threat.
AJA9,Cu,37.5,Low Risk,Minimal ecological threat.
AJA9,Cr,3.4000000000000004,Low Risk,Minimal ecological threat.
AJA9,Mn,1.5699999999999998,Low Risk,Minimal ecological threat.
AJA9,Zn,3.75,Low Risk,Minimal ecological threat.
AJA9,Ni,15.0,Low Risk,Minimal ecological threat.
AJA9,Co,15.0,Low Risk,Minimal ecological threat.
AJA9,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA10,Fe,0.659,Low Risk,Minimal ecological threat.
AJA10,Pb,38.0,Low Risk,Minimal ecological threat.
AJA10,Cu,42.5,Moderate Risk,Moderate ecological risk.
AJA10,Cr,4.3,Low Risk,Minimal ecological threat.
AJA10,Mn,1.7899999999999998,Low Risk,Minimal ecological threat.
AJA10,Zn,4.75,Low Risk,Minimal ecological threat.
AJA10,Ni,22.5,Low Risk,Minimal ecological threat.
AJA10,Co,15.0,Low Risk,Minimal ecological threat.
AJA10,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA11,Fe,0.241,Low Risk,Minimal ecological threat.
AJA11,Pb,31.0,Low Risk,Minimal ecological threat.
AJA11,Cu,37.5,Low Risk,Minimal ecological threat.
AJA11,Cr,3.2,Low Risk,Minimal ecological threat.
AJA11,Mn,1.62,Low Risk,Minimal ecological threat.
AJA11,Zn,3.05,Low Risk,Minimal ecological threat.
AJA11,Ni,10.0,Low Risk,Minimal ecological threat.
AJA11,Co,15.0,Low Risk,Minimal ecological threat.
AJA11,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA12,Fe,0.597,Low Risk,Minimal ecological threat.
AJA12,Pb,36.99999999999999,Low Risk,Minimal ecological threat.
AJA12,Cu,39.0,Low Risk,Minimal ecological threat.
AJA12,Cr,4.2,Low Risk,Minimal ecological threat.
AJA12,Mn,1.71,Low Risk,Minimal ecological threat.
AJA12,Zn,3.65,Low Risk,Minimal ecological threat.
AJA12,Ni,12.5,Low Risk,Minimal ecological threat.
AJA12,Co,15.0,Low Risk,Minimal ecological threat.
AJA12,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA13,Fe,0.239,Low Risk,Minimal ecological threat.
AJA13,Pb,27.0,Low Risk,Minimal ecological threat.
AJA13,Cu,32.0,Low Risk,Minimal ecological threat.
AJA13,Cr,2.8,Low Risk,Minimal ecological threat.
AJA13,Mn,0.98,Low Risk,Minimal ecological threat.
AJA13,Zn,4.1,Low Risk,Minimal ecological threat.
AJA13,Ni,7.5,Low Risk,Minimal ecological threat.
AJA13,Co,15.0,Low Risk,Minimal ecological threat.
AJA13,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA14,Fe,0.703,Low Risk,Minimal ecological threat.
AJA14,Pb,37.5,Low Risk,Minimal ecological threat.
AJA14,Cu,38.0,Low Risk,Minimal ecological threat.
AJA14,Cr,4.8,Low Risk,Minimal ecological threat.
AJA14,Mn,1.7499999999999998,Low Risk,Minimal ecological threat.
AJA14,Zn,3.6,Low Risk,Minimal ecological threat.
AJA14,Ni,10.0,Low Risk,Minimal ecological threat.
AJA14,Co,15.0,Low Risk,Minimal ecological threat.
