Sample,KR,Class,Interpretation
AJA1,0.286,Suitable,Water suitable for irrigation
AJA2,0.314,Suitable,Water suitable for irrigation
AJA3,0.311,Suitable,Water suitable for irrigation
AJA4,0.192,Suitable,Water suitable for irrigation
AJA5,0.211,Suitable,Water suitable for irrigation
AJA6,0.213,Suitable,Water suitable for irrigation
AJA7,0.183,Suitable,Water suitable for irrigation
AJA8,0.251,Suitable,Water suitable for irrigation
AJA9,0.192,Suitable,Water suitable for irrigation
AJA10,0.214,Suitable,Water suitable for irrigation
AJA11,0.171,Suitable,Water suitable for irrigation
AJA12,0.233,Suitable,Water suitable for irrigation
AJA13,0.161,Suitable,Water suitable for irrigation
AJA14,0.223,Suitable,Water suitable for irrigation
AJA15,0.221,Suitable,Water suitable for irrigation
AJA16,0.244,Suitable,Water suitable for irrigation
AJA17,0.238,Suitable,Water suitable for irrigation
AJA18,0.16,Suitable,Water suitable for irrigation
AJA19,0.257,Suitable,Water suitable for irrigation
AJA20,0.234,Suitable,Water suitable for irrigation
AJA21,0.329,Suitable,Water suitable for irrigation
AJA22,0.312,Suitable,Water suitable for irrigation
AJA23,0.312,Suitable,Water suitable for irrigation
AJA24,0.322,Suitable,Water suitable for irrigation
AJA25,0.311,Suitable,Water suitable for irrigation
