Sample,NPI,Classification,Interpretation
AJA1,18.81,Heavy Pollution,Serious contamination requiring intervention.
AJA2,13.425,Heavy Pollution,Serious contamination requiring intervention.
AJA3,7.551,Heavy Pollution,Serious contamination requiring intervention.
AJA4,4.928,Heavy Pollution,Serious contamination requiring intervention.
AJA5,5.581,Heavy Pollution,Serious contamination requiring intervention.
AJA6,5.793,Heavy Pollution,Serious contamination requiring intervention.
AJA7,4.572,Heavy Pollution,Serious contamination requiring intervention.
AJA8,5.579,Heavy Pollution,Serious contamination requiring intervention.
AJA9,4.786,Heavy Pollution,Serious contamination requiring intervention.
AJA10,5.433,Heavy Pollution,Serious contamination requiring intervention.
AJA11,4.429,Heavy Pollution,Serious contamination requiring intervention.
AJA12,5.289,Heavy Pollution,Serious contamination requiring intervention.
AJA13,3.857,Heavy Pollution,Serious contamination requiring intervention.
AJA14,5.363,Heavy Pollution,Serious contamination requiring intervention.
AJA15,4.861,Heavy Pollution,Serious contamination requiring intervention.
AJA16,4.791,Heavy Pollution,Serious contamination requiring intervention.
AJA17,5.148,Heavy Pollution,Serious contamination requiring intervention.
AJA18,3.43,Heavy Pollution,Serious contamination requiring intervention.
AJA19,4.6,Heavy Pollution,Serious contamination requiring intervention.
AJA20,5.073,Heavy Pollution,Serious contamination requiring intervention.
AJA21,9.437,Heavy Pollution,Serious contamination requiring intervention.
AJA22,8.243,Heavy Pollution,Serious contamination requiring intervention.
AJA23,9.553,Heavy Pollution,Serious contamination requiring intervention.
AJA24,9.169,Heavy Pollution,Serious contamination requiring intervention.
AJA25,9.939,Heavy Pollution,Serious contamination requiring intervention.
