Sample,Na%,Class,Interpretation
AJA1,28.65,Good,Suitable for irrigation
AJA2,29.72,Good,Suitable for irrigation
AJA3,29.44,Good,Suitable for irrigation
AJA4,22.22,Good,Suitable for irrigation
AJA5,25.74,Good,Suitable for irrigation
AJA6,25.83,Good,Suitable for irrigation
AJA7,23.14,Good,Suitable for irrigation
AJA8,28.06,Good,Suitable for irrigation
AJA9,23.61,Good,Suitable for irrigation
AJA10,26.02,Good,Suitable for irrigation
AJA11,23.44,Good,Suitable for irrigation
AJA12,26.69,Good,Suitable for irrigation
AJA13,21.87,Good,Suitable for irrigation
AJA14,25.49,Good,Suitable for irrigation
AJA15,26.88,Good,Suitable for irrigation
AJA16,28.59,Good,Suitable for irrigation
AJA17,27.99,Good,Suitable for irrigation
AJA18,20.54,Good,Suitable for irrigation
AJA19,29.09,Good,Suitable for irrigation
AJA20,27.72,Good,Suitable for irrigation
AJA21,31.09,Good,Suitable for irrigation
AJA22,30.43,Good,Suitable for irrigation
AJA23,30.21,Good,Suitable for irrigation
AJA24,30.59,Good,Suitable for irrigation
AJA25,30.09,Good,Suitable for irrigation
