Sample,X,Y,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd,WQI,HI_Child_Ingestion,TCR_Child,Distance,Total_Metals,Toxic_Metals,Fe_Mn_Ratio,Pb_Cd_Ratio,Ni_Cd_Ratio,Distance_km,Distance_Inv,WQI_Class,Health_Risk_Class,WQI_Class_Encoded,Health_Risk_Class_Encoded
AJA1,3.841543621,7.31138383,3.732,0.243,0.175,0.053,0.766,0.849,0.087,0.009,0.129,53.63,15.93,0.01004,50,6.043000000000001,0.512,4.865710560625815,1.869230769230769,0.6692307692307692,0.05,0.0196078431372549,Poor,Very High,1,1
AJA2,3.841782168,7.3128153,2.596,0.179,0.129,0.045,0.598,0.438,0.043,0.008,0.092,45.91,2.89,0.00203,80,4.127999999999999,0.359,4.333889816360601,1.9247311827956988,0.46236559139784944,0.08,0.012345679012345678,Good,Moderate-High,0,0
AJA3,3.841543621,7.314353239,2.078,0.104,0.106,0.043,0.357,0.247,0.031,0.006,0.035,43.19,2.29,0.00138,120,3.0069999999999997,0.213,5.804469273743017,2.8888888888888884,0.861111111111111,0.12,0.008264462809917356,Good,Moderate-High,0,0
AJA4,3.84033896,7.315595416,0.241,0.069,0.079,0.031,0.159,0.095,0.009,0.003,0.002,25.13,2.79,0.00177,220,0.6880000000000001,0.111,1.5062499999999999,23.0,2.9999999999999996,0.22,0.004524886877828055,Good,Moderate-High,0,0
AJA5,3.838848044,7.314944752,0.987,0.078,0.088,0.041,0.197,0.108,0.017,0.004,0.002,33.02,2.0,0.00118,280,1.522,0.138,4.984848484848484,26.0,5.666666666666667,0.28,0.0035587188612099642,Good,Moderate-High,0,0
AJA6,3.838132404,7.313761725,0.974,0.081,0.086,0.04,0.185,0.105,0.013,0.004,0.002,33.07,2.94,0.00192,300,1.49,0.136,5.236559139784946,27.0,4.333333333333333,0.3,0.0033222591362126247,Good,Moderate-High,0,0
AJA7,3.837058944,7.314329578,0.281,0.064,0.073,0.029,0.158,0.074,0.007,0.003,0.002,26.02,2.65,0.00171,320,0.6910000000000001,0.10200000000000001,1.7672955974842768,21.333333333333332,2.3333333333333335,0.32,0.003115264797507788,Good,Moderate-High,0,0
AJA8,3.836259813,7.313454137,0.817,0.078,0.083,0.046,0.183,0.099,0.015,0.003,0.002,33.16,2.68,0.00178,340,1.3259999999999996,0.14100000000000001,4.440217391304348,26.0,5.0,0.34,0.002932551319648094,Good,Moderate-High,0,0
AJA9,3.836128612,7.314081142,0.269,0.067,0.075,0.034,0.157,0.075,0.006,0.003,0.002,25.29,2.81,0.00187,350,0.6880000000000001,0.10900000000000001,1.7025316455696204,22.333333333333336,2.0,0.35,0.002849002849002849,Good,Moderate-High,0,0
AJA10,3.837333273,7.315666397,0.659,0.076,0.085,0.043,0.179,0.095,0.009,0.003,0.002,33.63,1.89,0.00121,360,1.1509999999999998,0.13,3.6611111111111114,25.333333333333332,2.9999999999999996,0.36,0.002770083102493075,Good,Moderate-High,0,0
AJA11,3.836951598,7.310532044,0.241,0.062,0.075,0.032,0.162,0.061,0.004,0.003,0.002,26.72,2.77,0.00172,380,0.642,0.1,1.478527607361963,20.666666666666668,1.3333333333333333,0.38,0.0026246719160104987,Good,Moderate-High,0,0
AJA12,3.835615737,7.312105481,0.597,0.074,0.078,0.042,0.171,0.073,0.005,0.003,0.002,35.93,11.56,0.00634,400,1.0449999999999997,0.123,3.470930232558139,24.666666666666664,1.6666666666666667,0.4,0.0024937655860349127,Good,Very High,0,1
AJA13,3.836188249,7.307740067,0.239,0.054,0.064,0.028,0.098,0.082,0.003,0.003,0.002,25.44,2.56,0.00146,420,0.573,0.08700000000000001,2.414141414141414,18.0,1.0,0.42,0.0023752969121140144,Good,Moderate-High,0,0
AJA14,3.840315106,7.309100566,0.703,0.075,0.076,0.048,0.175,0.072,0.004,0.003,0.002,40.2,6.01,0.00445,500,1.158,0.129,3.9943181818181817,25.0,1.3333333333333333,0.5,0.001996007984031936,Good,Moderate-High,0,0
AJA15,3.839742594,7.308047658,0.524,0.068,0.072,0.042,0.167,0.067,0.004,0.003,0.002,29.97,6.0,0.00423,520,0.9490000000000002,0.11600000000000002,3.119047619047619,22.666666666666668,1.3333333333333333,0.52,0.0019193857965451055,Good,Moderate-High,0,0
AJA16,3.842879482,7.30979856,0.566,0.067,0.073,0.044,0.165,0.063,0.004,0.003,0.002,30.04,5.56,0.00415,540,0.987,0.117,3.409638554216867,22.333333333333336,1.3333333333333333,0.54,0.0018484288354898336,Good,Moderate-High,0,0
AJA17,3.840577507,7.309822221,0.597,0.072,0.076,0.045,0.172,0.066,0.005,0.003,0.002,31.71,4.66,0.00404,560,1.0379999999999998,0.124,3.4508670520231215,23.999999999999996,1.6666666666666667,0.56,0.0017825311942959,Good,Moderate-High,0,0
AJA18,3.845396149,7.311608607,0.221,0.048,0.062,0.029,0.087,0.062,0.003,0.003,0.002,24.42,4.53,0.00327,600,0.5170000000000001,0.082,2.5113636363636367,16.0,1.0,0.6,0.0016638935108153079,Good,Moderate-High,0,0
AJA19,3.846863211,7.313891858,2.308,0.064,0.072,0.044,0.143,0.063,0.003,0.003,0.002,29.83,5.99,0.00411,650,2.702,0.113,16.02777777777778,21.333333333333332,1.0,0.65,0.0015360983102918587,Good,Moderate-High,0,0
AJA20,3.844620873,7.315015734,0.469,0.071,0.069,0.036,0.169,0.062,0.003,0.003,0.002,32.06,2.43,0.00163,700,0.8840000000000001,0.11199999999999999,2.7588235294117642,23.666666666666664,1.0,0.7,0.0014265335235378032,Good,Moderate-High,0,0
AJA21,3.837082799,7.310922446,1.906,0.131,0.101,0.041,0.322,0.351,0.041,0.006,0.078,41.69,2.96,0.00241,250,2.9769999999999994,0.291,5.900928792569659,1.6582278481012658,0.5189873417721519,0.25,0.00398406374501992,Good,Moderate-High,0,0
AJA22,3.84199686,7.311324678,1.348,0.114,0.098,0.038,0.298,0.337,0.036,0.006,0.065,42.32,2.97,0.00216,100,2.3400000000000003,0.253,4.5083612040133785,1.7272727272727273,0.5454545454545454,0.1,0.009900990099009901,Good,Moderate-High,0,0
AJA23,3.843547413,7.312460391,1.312,0.133,0.108,0.04,0.336,0.288,0.039,0.005,0.072,43.27,2.27,0.00145,150,2.333,0.28400000000000003,3.893175074183976,1.8219178082191783,0.5342465753424658,0.15,0.006622516556291391,Good,Moderate-High,0,0
