Sample,RSC,Class,Interpretation
AJA1,224.16,Unsuitable,High alkalinity hazard
AJA2,204.38,Unsuitable,High alkalinity hazard
AJA3,202.4,Unsuitable,High alkalinity hazard
AJA4,125.38,Unsuitable,High alkalinity hazard
AJA5,140.24,Unsuitable,High alkalinity hazard
AJA6,144.15,Unsuitable,High alkalinity hazard
AJA7,125.22,Unsuitable,High alkalinity hazard
AJA8,144.58,Unsuitable,High alkalinity hazard
AJA9,125.05,Unsuitable,High alkalinity hazard
AJA10,147.74,Unsuitable,High alkalinity hazard
AJA11,124.56,Unsuitable,High alkalinity hazard
AJA12,156.68,Unsuitable,High alkalinity hazard
AJA13,125.78,Unsuitable,High alkalinity hazard
AJA14,178.91,Unsuitable,High alkalinity hazard
AJA15,131.11,Unsuitable,High alkalinity hazard
AJA16,132.96,Unsuitable,High alkalinity hazard
AJA17,134.43,Unsuitable,High alkalinity hazard
AJA18,124.66,Unsuitable,High alkalinity hazard
AJA19,131.39,Unsuitable,High alkalinity hazard
AJA20,129.82,Unsuitable,High alkalinity hazard
AJA21,204.5,Unsuitable,High alkalinity hazard
AJA22,194.89,Unsuitable,High alkalinity hazard
AJA23,217.74,Unsuitable,High alkalinity hazard
AJA24,209.25,Unsuitable,High alkalinity hazard
AJA25,219.53,Unsuitable,High alkalinity hazard
