Sample,WQI,Class,Interpretation
AJA1,53.63,Good,Minor quality concerns
AJA2,45.91,Excellent,Water suitable for drinking and irrigation
AJA3,43.19,Excellent,Water suitable for drinking and irrigation
AJA4,25.13,Excellent,Water suitable for drinking and irrigation
AJA5,33.02,Excellent,Water suitable for drinking and irrigation
AJA6,33.07,Excellent,Water suitable for drinking and irrigation
AJA7,26.02,Excellent,Water suitable for drinking and irrigation
AJA8,33.16,Excellent,Water suitable for drinking and irrigation
AJA9,25.29,Excellent,Water suitable for drinking and irrigation
AJA10,33.63,Excellent,Water suitable for drinking and irrigation
AJA11,26.72,Excellent,Water suitable for drinking and irrigation
AJA12,35.93,Excellent,Water suitable for drinking and irrigation
AJA13,25.44,Excellent,Water suitable for drinking and irrigation
AJA14,40.2,Excellent,Water suitable for drinking and irrigation
AJA15,29.97,Excellent,Water suitable for drinking and irrigation
AJA16,30.04,Excellent,Water suitable for drinking and irrigation
AJA17,31.71,Excellent,Water suitable for drinking and irrigation
AJA18,24.42,Excellent,Water suitable for drinking and irrigation
AJA19,29.83,Excellent,Water suitable for drinking and irrigation
AJA20,32.06,Excellent,Water suitable for drinking and irrigation
AJA21,41.69,Excellent,Water suitable for drinking and irrigation
AJA22,42.32,Excellent,Water suitable for drinking and irrigation
AJA23,43.27,Excellent,Water suitable for drinking and irrigation
AJA24,43.41,Excellent,Water suitable for drinking and irrigation
AJA25,44.1,Excellent,Water suitable for drinking and irrigation
