Sample,X,Y,Water_Class
AJA1,3.841543621,7.31138383,6
AJA2,3.841782168,7.3128153,6
AJA3,3.841543621,7.314353239,6
AJA4,3.84033896,7.315595416,5
AJA5,3.838848044,7.314944752,4
AJA6,3.838132404,7.313761725,1
AJA7,3.837058944,7.314329578,5
AJA8,3.836259813,7.313454137,6
AJA9,3.836128612,7.314081142,5
AJA10,3.837333273,7.315666397,1
AJA11,3.836951598,7.310532044,5
AJA12,3.835615737,7.312105481,1
AJA13,3.836188249,7.307740067,5
AJA14,3.840315106,7.309100566,1
AJA15,3.839742594,7.308047658,5
AJA16,3.842879482,7.30979856,5
AJA17,3.840577507,7.309822221,1
AJA18,3.845396149,7.311608607,5
AJA19,3.846863211,7.313891858,6
AJA20,3.844620873,7.315015734,1
AJA21,3.837082799,7.310922446,6
AJA22,3.84199686,7.311324678,6
AJA23,3.843547413,7.312460391,6
AJA24,3.844465817,7.31438873,6
AJA25,3.8428437,7.314116633,6
