Sample,mCd,Classification
AJA1,80.01167272727272,High Contamination
AJA2,56.29956363636364,High Contamination
AJA3,23.359963636363638,High Contamination
AJA4,3.2941999999999996,Considerable Contamination
AJA5,3.962854545454545,High Contamination
AJA6,3.783163636363636,High Contamination
AJA7,3.081109090909091,Considerable Contamination
AJA8,3.7308545454545454,High Contamination
AJA9,3.090709090909091,Considerable Contamination
AJA10,3.4454363636363636,Considerable Contamination
AJA11,2.938381818181818,Considerable Contamination
AJA12,3.1573999999999995,Considerable Contamination
AJA13,2.7203454545454546,Considerable Contamination
AJA14,3.1155090909090912,Considerable Contamination
AJA15,2.9953454545454545,Considerable Contamination
AJA16,2.995745454545455,Considerable Contamination
AJA17,3.120309090909091,Considerable Contamination
AJA18,2.628927272727273,Considerable Contamination
AJA19,2.9416,Considerable Contamination
AJA20,2.9337999999999997,Considerable Contamination
AJA21,20.277745454545457,High Contamination
AJA22,23.654145454545457,High Contamination
AJA23,16.83767272727273,High Contamination
AJA24,11.262527272727274,High Contamination
AJA25,9.231454545454545,High Contamination
