Sample,X,Y,Ca,Mg,Na,K,HCO3,SO4,Cl,NO3,CO3,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd,Cf_Fe,Cf_Pb,Cf_Cu,Cf_Cr,Cf_Mn,Cf_Zn,Cf_Ni,Cf_Cd,Cf_Co,mCd,PLI,NPI,MI,HEI,WQI
AJA1,3.841543621,7.31138383,93.89,33.95,36.52,14.81,344,54,71.28,20.25,8,3.732,0.243,0.175,0.053,0.766,0.849,0.087,0.009,78.6155,12.440000000000001,24.299999999999997,0.0875,1.0599999999999998,1.915,0.283,4.35,43.0,0.17999999999999997,8.735055555555554,1.9998240097701219,31.175080646806297,87.6155,87.6155,49.527890880503136
AJA2,3.841782168,7.3128153,75.83,31.79,33.84,11.67,310,50,64.22,7.07,2,2.596,0.179,0.129,0.045,0.598,0.438,0.043,0.008,53.13549999999999,8.653333333333334,17.9,0.0645,0.8999999999999999,1.4949999999999999,0.146,2.15,30.666666666666664,0.16,5.903944444444444,1.4003243447540026,22.22733557285285,62.13549999999999,62.13549999999999,33.47792861635219
AJA3,3.841543621,7.314353239,71.62,29.98,31.57,10.83,304,46,59.26,4.02,0,2.078,0.104,0.106,0.043,0.357,0.247,0.031,0.006,23.551166666666667,6.926666666666667,10.399999999999999,0.053,0.8599999999999999,0.8925,0.08233333333333333,1.55,11.666666666666668,0.12,2.6167962962962963,0.9306257547456837,8.636907043612712,32.55116666666667,32.55116666666667,14.851459224318658
AJA4,3.84033896,7.315595416,48.21,16.41,12.41,6.05,190,22,30.04,0.63,0,0.241,0.069,0.079,0.031,0.159,0.095,0.009,0.003,0.9686666666666675,0.8033333333333333,6.9,0.0395,0.62,0.39749999999999996,0.03166666666666667,0.44999999999999996,0.6666666666666666,0.06,0.10762962962962971,0.31525401622757226,4.941499944168444,9.968666666666667,9.968666666666667,0.6267752620545078
AJA5,3.838848044,7.314944752,59.98,19.78,16.82,10.82,220,36,41.64,3.45,0,0.987,0.078,0.088,0.041,0.197,0.108,0.017,0.004,5.079166666666666,3.29,7.8,0.044,0.82,0.4925,0.036,0.8500000000000001,0.6666666666666666,0.08,0.5643518518518518,0.4491684761970566,5.625264292297399,14.079166666666666,14.079166666666666,3.2197510482180287
AJA6,3.838132404,7.313761725,60.34,19.51,17.03,10.78,224,34,42.27,3.01,0,0.974,0.081,0.086,0.04,0.185,0.105,0.013,0.004,5.083833333333333,3.2466666666666666,8.1,0.043,0.7999999999999999,0.46249999999999997,0.034999999999999996,0.6499999999999999,0.6666666666666666,0.08,0.5648703703703704,0.43047958349833876,5.8334732053924405,14.083833333333333,14.083833333333333,3.2226948637316557
AJA7,3.837058944,7.314329578,47.76,17.02,11.87,7.63,190,24,30.12,0.57,0,0.281,0.064,0.073,0.029,0.158,0.074,0.007,0.003,0.44950000000000045,0.9366666666666668,6.4,0.0365,0.58,0.39499999999999996,0.024666666666666667,0.35,0.6666666666666666,0.06,0.04994444444444449,0.29574990267942364,4.585977722166766,9.4495,9.4495,0.2992757861635223
AJA8,3.836259813,7.313454137,55.93,21.49,19.45,10.75,222,36,43.19,2.05,0,0.817,0.078,0.083,0.046,0.183,0.099,0.015,0.003,4.451999999999998,2.723333333333333,7.8,0.0415,0.9199999999999999,0.45749999999999996,0.033,0.75,0.6666666666666666,0.06,0.4946666666666665,0.4152787759077606,5.615782601047001,13.451999999999998,13.451999999999998,2.8241232704402504
AJA9,3.836128612,7.314081142,45.97,16.98,12.07,7.39,188,20,29.81,0.62,0,0.269,0.067,0.075,0.034,0.157,0.075,0.006,0.003,0.7583333333333346,0.8966666666666667,6.7,0.0375,0.68,0.39249999999999996,0.024999999999999998,0.3,0.6666666666666666,0.06,0.08425925925925941,0.297106313378672,4.7992508864034935,9.758333333333335,9.758333333333335,0.49409329140461294
AJA10,3.837333273,7.315666397,58.21,22.05,17.16,11.07,228,36,40.64,3.79,0,0.659,0.076,0.085,0.043,0.179,0.095,0.009,0.003,3.3549999999999986,2.1966666666666668,7.6,0.0425,0.8599999999999999,0.44749999999999995,0.03166666666666667,0.44999999999999996,0.6666666666666666,0.06,0.37277777777777765,0.3774884515534857,5.460976049533659,12.354999999999999,12.354999999999999,2.132116352201257
